id,created_at,text
710928000000000000,3/18/16 20:37,Mitt Romney is a mixed up man who doesn't have a clue. No wonder he lost!
710924000000000000,3/18/16 20:21,"Failed Presidential Candidate Mitt Romney was campaigning with John Kasich &amp; Marco Rubio, and now he is endorsing Ted Cruz. 1/2"
710923000000000000,3/18/16 20:18,"Failed presidential candidate Mitt Romney, the man who ""choked"" and let us all down, is now endorsing Lyin' Ted Cruz. This is good for me!"
710921000000000000,3/18/16 20:07,"Going to Salt Lake City, Utah, for a big rally. Lyin' Ted Cruz should not be allowed to win there - Mormons don't like LIARS! I beat Hillary"
710920000000000000,3/18/16 20:05,"Club for Growth letter- trying to extort $1,000,000.00 from me. Remember, I said- NO! https://t.co/suIfdiMg0Q"
710918000000000000,3/18/16 19:57,"Club For Growth tried to extort $1,000,000 from me. When I said NO, they went hostile with negative ads. Disgraceful!"
710915000000000000,3/18/16 19:44,"With millions of dollars of negative and phony ads against me by the establishment, my numbers continue to go up. Can anyone explain this?"
710906000000000000,3/18/16 19:08,".@EWErickson got fired like a dog from RedStateand now he is the one leading opposition against me."
710905000000000000,3/18/16 19:03,Senator @LindseyGrahamSC made horrible statements about @SenTedCruz ‰ÛÒ and then he endorsed him. No wonder nobody trusts politicians!
710869000000000000,3/18/16 16:42,Lyin' Ted Cruz lost all five races on Tuesday-and he was just given the jinx - a Lindsey Graham endorsement. Also backed Jeb. Lindsey got 0!
710857000000000000,3/18/16 15:56,"Join us in Salt Lake City, Utah- tonight!#MakeAmericaGreatAgain #Trump2016https://t.co/1cJ7OFbQiz"
710626000000000000,3/18/16 0:37,Hillary Clinton has been involved in corruption for most of her professional life!
710564000000000000,3/17/16 20:30,MAKE AMERICA GREAT AGAIN!
710535000000000000,3/17/16 18:33,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know. https://t.co/ESdiEftWGs
710511000000000000,3/17/16 16:58,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!
710510000000000000,3/17/16 16:54,Looking like my 5 victories on Tuesday will be just as good as if I won Ohio. Two more days and Ohio was mine!
710507000000000000,3/17/16 16:44,See you in Arizona on Friday and Saturday. https://t.co/HiOhRaTMbm
710456000000000000,3/17/16 13:22,"Please explain to the dummies at the @WSJ  Editorial Board that I love to debate and have won, according to Drudge etc., all 11 of them!"
710454000000000000,3/17/16 13:11,".@WSJ is bad at math. The good news is, nobody cares what they say in their editorials anymore, especially me!"
710453000000000000,3/17/16 13:08,".@WSJ Editorial says ""Clinton primary vote total is 8,646,551.Trump's is 7,533,692""-a knock. But she had only 3 opponents-I had 16.Apologize"
710443000000000000,3/17/16 12:28,The reason lyin' Ted Cruz has lost so much of the evangelical vote is that they are very smart and just don't tolerate liars-a big problem!
710441000000000000,3/17/16 12:19,Crazy @megynkelly is now complaining that  @oreillyfactor did not defend her against me - yet her bad show is a total hit piece on me.Tough!
710416000000000000,3/17/16 10:40,Great news that @FoxNews has cancelled the additional debate. How many times can the same people ask the same question? I beat Cruz debating
710410000000000000,3/17/16 10:17,Crazy @megynkelly supposedly had lyin' Ted Cruz on her show last night. Ted is desperate and his lying is getting worse. Ted can't win!
710408000000000000,3/17/16 10:09,"Stuart Stevens, the failed campaign manager of Mitt Romney's historic loss, is now telling the Republican Party what to do with Trump. Sad!"
710216000000000000,3/16/16 21:26,I will be interviewed on The O'Reilly Factor this evening at 8 pm on the Fox News Channel. @oreillyfactor
710214000000000000,3/16/16 21:21,"Thank you, Missouri! #Trump2016 https://t.co/iOzGtcBbia"
710178000000000000,3/16/16 18:56,"Wow, just won Missouri!"
710177000000000000,3/16/16 18:52,"RT @JohnStossel: I can skate here ONLY b/c @realdonaldtrump fixed this rink after NYC gov‰Ûªt spent $13M, but FAILED! Good for Trump! https:/‰Û_"
710160000000000000,3/16/16 17:47,"I am making a big speech the night of the @FoxNews debate, but I wish everyone well. Yesterday was a big day for me with 5 wins!"
710152000000000000,3/16/16 17:14,"Thank you to the Governor of Florida, Rick Scott, for your endorsement. I greatly appreciate your support!"
710152000000000000,3/16/16 17:13,"In the last 2 weeks, I had $35M of negative ads against me in Florida &amp; I won in a massive landslide.The establishment should save their $$!"
710150000000000000,3/16/16 17:04,"Yesterday was amazing‰ÛÓ5 victories.  Lyin‰Ûª Ted Cruzhad zero. Things are going very well!"
710139000000000000,3/16/16 16:19,Is this what we want for a President? https://t.co/2yYy6Nyta9
710098000000000000,3/16/16 13:37,.@RepTomMarino  Great job on television this morning. Glad to have you on my side!
710097000000000000,3/16/16 13:34,"""@FoxBusiness: .@RepTomMarino: I think @realDonaldTrump can beat HillaryClinton. And I'm looking forward to Trump being president."
710075000000000000,3/16/16 12:06,.@pastormarkburns You were great last night and we all very much appreciate it! Thank you!
710074000000000000,3/16/16 12:02,I will be interviewed on @foxandfriends at 8:30 A.M. ENJOY!
710067000000000000,3/16/16 11:35,Will be interviewed on @Morning_Joe at 7:40. ENJOY!
710051000000000000,3/16/16 10:30,Will be interviewed on @NewDay on @CNN at 7:15 A.M.
710050000000000000,3/16/16 10:28,Will be interviewed on @GMA at 7:00 A.M. Big wins last night!
709980000000000000,3/16/16 5:50,"""@lucyric13835428: @realDonaldTrump @megynkelly  That's funny, I switched to other media too, can't stand her"""
709976000000000000,3/16/16 5:35,"""@MaryEH428: @RealBenCarson I thank God you are on board with @realDonaldTrump to help him and us #MakeAmericaGreatAgain Ty!!"""
709941000000000000,3/16/16 3:16,"Thank you Marco, I agree! https://t.co/PTfFzFno9p"
709931000000000000,3/16/16 2:33,"I only wish my wonderful daughter Tiffany could have been with us at Mar-a-Lago for our great election victory. She is a winner!"
709919000000000000,3/16/16 1:48,"Thank you Illinois! #SuperTuesday #MakeAmericaGreatAgain #Trump2016 https://t.co/vcfstc6Wnb"
709916000000000000,3/16/16 1:33,"Thank you, North Carolina! #Trump2016 #SuperTuesdayåÊ #MakeAmericaGreatAgain https://t.co/hd4wtDonIB"
709894000000000000,3/16/16 0:09,Watching other networks and local news. Really good night! Crazy @megynkelly is unwatchable.
709893000000000000,3/16/16 0:05,"Thank you, Florida! #SuperTuesday #MakeAmericaGreatAgain #Trump2016 https://t.co/nzhnLQXrZg"
709893000000000000,3/16/16 0:05,"Thank you, Northern Mariana Islands!#SuperTuesday #Trump2016 #MakeAmericaGreatAgain https://t.co/OoP4mls4lp"
709893000000000000,3/16/16 0:05,"Can't watch Crazy Megyn anymore. Talks about me at 43% but never mentions that there are four people in race. With two people, big &amp; over!"
709891000000000000,3/15/16 23:54,"""@DumpFoxNews: @FoxNews @megynkelly  If media wasn't so biased against Trump, he would've won all of the delegates."
709887000000000000,3/15/16 23:39,"""@SCNAK45: @megynkelly is trying so hard to bash @realDonaldTrump it's ridiculous"" Don't worry, everyone is wise to Crazy Megyn!"
709886000000000000,3/15/16 23:37,"""@J_Styborski: @realDonaldTrump @gregens21 @BertShad @FoxNews @megynkelly Hayes is looking depressed as well. https://t.co/wUJacOm32h"""
709886000000000000,3/15/16 23:34,"""@jsconlon11:  @BertShad @Foxnews @megynkelly I tried to give them a shot tonight, but they have the whole anti Trump cheerleading team."""
709885000000000000,3/15/16 23:34,"""@gregens21:  @BertShad @FoxNews @megynkelly She's choking on the results! Call her justifiable Kelly. Justifying everything she says."""
709884000000000000,3/15/16 23:26,"""@BertShad: Was going to watch @Foxnews for the primary results but saw @megynkelly - looks like #CNN tonight"""
709879000000000000,3/15/16 23:06,"Word is that, despite a record amount spent on negative and phony ads, I had a massive victory in Florida. Numbers out soon!"
709819000000000000,3/15/16 19:11,A lot of complaints from people saying my name is not on the ballot in various places in Florida? Hope this is false.
709775000000000000,3/15/16 16:16,"I will bring our jobs back to the U.S., and keep our companies from leaving. Nobody else can do it. Our economy will ""sing"" again."
709772000000000000,3/15/16 16:03,"In presidential voting so far, John Kasich is ZERO for 22. So why would he be a good candidate? Hillary would beat him, I will beat Hillary!"
709757000000000000,3/15/16 15:03,"Ohio is losing jobs to Mexico, now losing Ford (and many others). Kasich is weak on illegal immigration. We need strong borders now!"
709754000000000000,3/15/16 14:53,"Watching John Kasich being interviewed - acting so innocent and like such a nice guy. Remember him in second debate, until I put him down."
709750000000000000,3/15/16 14:36,RT @EricTrump: Mathematically it is statistically impossible for Kasich to get to 1237 - he would need 112% of the remaining delegates to b‰Û_
709737000000000000,3/15/16 13:43,"#VoteTrump #SuperTuesday‰ÏÉFlorida‰ÏÉIllinois‰ÏÉMissouri‰ÏÉNorth Carolina‰ÏÉOhio #TrumpTrain https://t.co/zyRctsFmSq https://t.co/kxrn0ev4UF"
709735000000000000,3/15/16 13:37,"North Carolina lost 300,000 manufacturing jobs and Ohio lost 400,000 since 2000. Going to Mexico etc. NO MORE IF I WIN, WE WILL BRING BACK!"
709732000000000000,3/15/16 13:24,RT @EricTrump: Friends in #FL #OH #NC #IL &amp; #MO we would be honored to have your #VOTE! #SuperTuesday #LetsDoThis #MakeAmericaGreatAgain #T‰Û_
709720000000000000,3/15/16 12:38,"Just in, big news- I have been declared the winner of the CNMI Rep Caucus with 72.8% of the vote! Thank you! #SuperTuesday #VoteTrump"
709713000000000000,3/15/16 12:10,"Good morning Ohio! Some additional information from my daughter, @IvankaTrump! #VoteTrump #SuperTuesday https://t.co/H7sBEnSpYq"
709704000000000000,3/15/16 11:31,"Don't reward Mitt Romney, who let us all down in the last presidential race, by voting for Kasich (who voted for NAFTA, open borders etc.)."
